TIPO_ID;ID;COD_CIIU;SECTOR_CIIU;MACROSECTOR;COLOR_SECTOR;OFICINA_ASIGNACION;UBICACION;FECHA_REVISION_PC;FAMILIA;SINO_ROTATIVA;MONEDA; FAMILIA_APROBADO ; FAMILIA_UTILIZADO ; DISPONIBLE ; SALDO_CAPITAL ; VENTAS 2020 ; VENTAS 2021 ;NIVEL DE CONFIANZA;CALIFICACIÓN_DE RIESG;CLAS_EMPRESA
C;254;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;853;Cumaral;31/12/2022;OP.PLAZO;NO;COP; $ 87.673.000 ; $ 471.000.000 ; $ - ;; $ 155.295.869 ; $ 225.857.752 ;ALTO;4,75;CORPORATIVO
N;255;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1083;Bogota, D.C.;31/10/2022;CAPITAL_TRABAJO;SI;COP; $ 1.000.000.000 ; $ 1.000.000.000 ; $ - ; $ - ; $ 2.253.608.602 ; $ 2.368.801.847 ;ALTO;4,25;CORPORATIVO
N;256;5511;ACTIVIDADES INMOBILIARIAS;OTROS;Naranja2;2028;Ibague;31/12/2022;CAPITAL_TRABAJO;SI;COP; $ 25.000.000 ; $ - ; $ 25.000.000 ;; $ - ; $ 2.616.900 ;BAJO;1,68;CORPORATIVO
N;257;2310;PRODUCTOS DE VIDRIO;INDUSTRIA;Verde;1172;Bogota, D.C.;31/12/2022;COMERCIO_EXTERIOR;SI;COP; $ 600.000.000 ; $ - ; $ 600.000.000 ;; $ 633.571.578 ; $ 1.036.097.099 ;ALTO;5,46;CORPORATIVO
N;258;8530;EDUCACION;EDUCACION;Naranja1;1748;Bogota, D.C.;30/11/2022;OP.PLAZO;SI;COP; $ 4.300.000.000 ; $ 1.074.601.096 ; $ 1.700.135.985 ; $ 1.074.601.096 ; $ 11.863.216.579 ; $ 14.641.342.464 ;ALTO;5,21;CORPORATIVO
N;259;8530;EDUCACION;EDUCACION;Naranja1;1748;Bogota, D.C.;30/11/2022;CAPITAL_TRABAJO;SI;COP; $ 4.300.000.000 ; $ 1.525.262.919 ; $ 1.700.135.985 ; $ 1.525.262.919 ; $ 11.863.216.579 ; $ 14.641.342.464 ;ALTO;5,21;CORPORATIVO
N;260;4541;COMERCIO EQUIPO DE TRANSPORTE (INCLUYE CONCESIONARIOS AUTOMOTORES);COMERCIO;Amarillo;206;Cartago;31/07/2022;OP.PLAZO;NO;COP; $ 100.000.000 ; $ 100.000.000 ; $ - ; $ 100.000.000 ; $ - ; $ 29.325.330 ;MEDIO;3,24;CORPORATIVO
N;261;2825;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1717;Itagui;30/04/2022;CAMPAÑA_COMERCIA;NO;COP; $ 800.000.000 ; $ - ; $ 800.000.000 ;; $ 3.941.485.210 ; $ 5.193.153.405 ;ALTO;5,00;CORPORATIVO
N;262;1399;CONFECCIONES;OTROS;Naranja1;1730;Bogota, D.C.;30/06/2022;OP. MESA DE DINERO;SI;COP; $ 1.000.000.000 ; $ 1.075.684.491 ;-$ 75.684.491 ; $ 1.075.684.491 ; $ 2.735.476.219 ; $ 3.352.055.675 ;ALTO;4,40;CORPORATIVO
N;263;115;COMERCIO INSUMOS AGROPECUARIOS  Y MATERIAS PRIMAS AGROPECUARIAS;COMERCIO;Verde;2031;Cerete;31/07/2022;CAPITAL_TRABAJO;SI;COP; $ 50.000.000 ; $ 49.949.612 ; $ 50.388 ; $ 32.001.872 ; $ - ; $ 65.405.165 ;MEDIO;3,69;CORPORATIVO
N;264;4731;COMBUSTIBLES LUBRICANTES (PRODUCCION Y COMERCIALIZACION);COMERCIO;Verde;1739;Soledad;31/01/2023;OP. MESA DE DINERO;SI;COP; $ 300.000.000 ; $ 300.000.000 ; $ - ; $ 27.331.912 ; $ 26.881.170 ; $ 38.430.722 ;ALTO;5,36;CORPORATIVO
N;266;6810;ACTIVIDADES INMOBILIARIAS;OTROS;Naranja2;1709;Bogota, D.C.;30/11/2022;CAPITAL_TRABAJO;SI;COP; $ 5.200.000.000 ; $ - ; $ 5.200.000.000 ;; $ 4.823.220.838 ; $ 224.070.192 ;ALTO;2,36;CORPORATIVO
N;267;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1227;Manizales;28/02/2023;CAPITAL_TRABAJO;SI;COP; $ 120.000.000 ; $ 23.000.000 ; $ 97.000.000 ; $ 11.136.655 ; $ 540.773.701 ; $ 865.331.443 ;ALTO;5,50;CORPORATIVO
N;268;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1227;Manizales;28/02/2023;OP.PLAZO;NO;COP; $ 132.349.000 ; $ 300.000.000 ; $ - ; $ 128.874.653 ; $ 540.773.701 ; $ 865.331.443 ;ALTO;5,50;CORPORATIVO
N;269;1052;PRODUCTOS ALIMENTICIOS;INDUSTRIA;Verde;1744;Palmira;31/05/2022;OP. MESA DE DINERO;SI;COP; $ 100.000.000 ; $ 100.000.000 ; $ - ; $ - ; $ 186.751.297 ; $ 330.776.752 ;ALTO;5,48;CORPORATIVO
N;270;1052;PRODUCTOS ALIMENTICIOS;INDUSTRIA;Verde;1744;Palmira;31/05/2022;LEASING;NO;COP; $ 250.000.000 ; $ 245.900.000 ; $ 4.100.000 ; $ 245.899.999 ; $ 186.751.297 ; $ 330.776.752 ;ALTO;5,48;CORPORATIVO
N;271;7310;AGENCIAS DE PUBLICIDAD;OTROS;Naranja2;1929;Cali;31/01/2023;OP.PLAZO;NO;COP; $ 345.614.000 ; $ 381.410.062 ; $ - ; $ 343.597.479 ; $ 6.488.753 ; $ 7.692.594 ;ALTO;3,80;CORPORATIVO
N;272;1103;CERVEZA;INDUSTRIA;Verde;1063;Medellin;30/11/2022;OP. MESA DE DINERO;SI;COP; $ 1.000.000 ; $ - ; $ 1.000.000 ;; $ 108.003.660 ; $ 3.718.365 ;ALTO;3,23;CORPORATIVO
N;273;8621;SERVICIOS DE SALUD;SERVICIOS;Verde;1689;Bogota, D.C.;31/01/2023;CAMPAÑA_COMERCIA;NO;COP; $ - ; $ - ; $ - ;; $ - ; $ 616.486.628 ;BAJO;2,24;CORPORATIVO
N;274;1410;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1207;Envigado;28/02/2023;OP.PLAZO;SI;COP; $ 1.600.000.000 ; $ 537.459.657 ; $ 1.062.540.343 ; $ 537.459.657 ; $ 5.200.821.480 ; $ 9.404.929.439 ;ALTO;4,81;CORPORATIVO
N;275;8621;SERVICIOS DE SALUD;SERVICIOS;Verde;1933;Palmira;31/12/2022;OP.PLAZO;NO;COP; $ 163.300.000 ; $ - ; $ 163.300.000 ;; $ - ; $ 83.090.659 ;MEDIO;2,51;CORPORATIVO
N;276;4645;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;2016;Bogota, D.C.;31/01/2023;COMERCIO_EXTERIOR;SI;COP; $ 200.000.000 ; $ - ; $ 200.000.000 ;; $ 25.391.144 ; $ 29.823.780 ;ALTO;4,25;CORPORATIVO
N;277;4731;COMBUSTIBLES LUBRICANTES (PRODUCCION Y COMERCIALIZACION);COMERCIO;Verde;1727;Bogota, D.C.;31/12/2022;CAPITAL_TRABAJO;SI;COP; $ 600.000.000 ; $ 600.000.000 ; $ - ; $ 399.865.471 ; $ 2.576.008.188 ; $ 4.618.035.645 ;ALTO;5,47;CORPORATIVO
N;278;4690;COMERCIO EN GENERAL AL POR MAYOR;COMERCIO;Verde;1797;Bogota, D.C.;28/02/2023;OP. MESA DE DINERO;SI;COP; $ 30.000.000 ; $ 30.000.000 ; $ - ; $ - ; $ - ; $ 9.245.001 ;BAJO;1,50;CORPORATIVO
N;279;2013;PLASTICOS Y CAUCHO DISTINTO DE LLANTAS (PRODUCCION Y COMERCIALIZACION);INDUSTRIA;Verde;1739;Bogota, D.C.;28/02/2023;OP.PLAZO;SI;COP; $ 3.000.000.000 ; $ 2.734.096.851 ; $ 265.903.149 ; $ 1.371.182.394 ; $ 5.632.258.751 ; $ 9.401.900.260 ;ALTO;5,56;CORPORATIVO
N;280;4752;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1290;Bogota, D.C.;28/02/2023;OP.PLAZO;SI;COP; $ 150.000.000 ; $ - ; $ 150.000.000 ;; $ 519.638.410 ; $ 566.901.025 ;ALTO;4,17;CORPORATIVO
N;281;9200;JUEGOS DE AZAR;OTROS;Naranja1;970;Ibague;30/04/2022;CAPITAL_TRABAJO;SI;COP; $ 2.550.000.000 ; $ 2.550.000.000 ; $ - ; $ 1.142.501.253 ; $ 5.774.790 ; $ 1.685.105 ;BAJO;2,25;CORPORATIVO
N;282;7911;AGENCIAS DE VIAJES;OTROS;Rojo;1156;Bogota, D.C.;30/04/2017;CAPITAL_TRABAJO;SI;COP; $ 100.000.000 ; $ - ; $ 100.000.000 ;; $ 239.598.211 ; $ 35.303.882 ;MEDIO;1,41;CORPORATIVO
N;283;4771;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1365;Cali;31/12/2017;CAMPAÑA_COMERCIA;SI;COP; $ 5.000.000 ; $ - ; $ 5.000.000 ;; $ 15.259.500 ; $ 54.201.250 ;ALTO;5,15;CORPORATIVO
N;284;1410;CONFECCIONES;OTROS;Naranja1;1689;Bogota, D.C.;31/10/2017;CAPITAL_TRABAJO;SI;COP; $ 120.000.000 ; $ - ; $ 120.000.000 ;; $ 1.899.808 ; $ 1.994.798 ;BAJO;0,25;CORPORATIVO
N;285;4721;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1194;Planeta rica;31/08/2018;OP.PLAZO;NO;COP; $ 11.172.000 ; $ 15.000.000 ; $ - ; $ - ; $ 26.453.815 ; $ 27.776.506 ;BAJO;0,50;CORPORATIVO
N;286;3110;MUEBLES;INDUSTRIA;Verde;2021;Bogota, D.C.;30/09/2018;OP.PLAZO;NO;COP; $ 12.827.000 ; $ 25.654.381 ; $ - ;; $ 52.765.750 ; $ 155.723.840 ;ALTO;4,48;CORPORATIVO
N;287;8621;SERVICIOS DE SALUD;SERVICIOS;Verde;1301;Bogota, D.C.;31/10/2018;OP.PLAZO;SI;COP; $ 100.000.000 ; $ - ; $ 100.000.000 ;; $ 563.353.300 ; $ 874.005.050 ;ALTO;5,49;CORPORATIVO
C;288;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;1267;Soacha;31/10/2018;OP.PLAZO;SI;COP; $ - ; $ 21.550.525 ; $ - ; $ 14.493.191 ; $ 3.242.470 ; $ 4.158.500 ;MEDIO;3,58;CORPORATIVO
C;289;10;COMERCIO EN GENERAL AL POR MAYOR;COMERCIO;Verde;351;Villavicencio;30/09/2018;OP.PLAZO;NO;COP; $ 192.363.000 ; $ 225.196.602 ; $ - ; $ 47.134.570 ; $ 26.576.968 ; $ 31.575.160 ;ALTO;4,77;CORPORATIVO
N;290;6492;INTERMEDIACION FINANCIERA;OTROS;Naranja1;1227;Manizales;31/01/2019;OP.PLAZO;SI;COP; $ 790.000.000 ; $ - ; $ 790.000.000 ;; $ 12.597.493 ; $ 174.011.251 ;ALTO;5,05;CORPORATIVO
C;292;7490;PRODUCTOS LACTEOS;INDUSTRIA;Verde;123;Bogota, D.C.;31/07/2018;OP.PLAZO;SI;COP; $ 30.000.000 ; $ 12.103.035 ; $ - ; $ 12.103.035 ; $ 22.554.722 ; $ 16.605.450 ;ALTO;3,02;CORPORATIVO
C;293;5613;COMIDAS RAPIDAS Y RESTAURANTES;OTROS;Rojo;303;Villa del rosario;30/04/2019;OP.PLAZO;NO;COP; $ 230.000.000 ; $ 430.000.000 ;-$ 200.000.000 ; $ 212.390.531 ; $ 116.904.938 ; $ 131.035.861 ;ALTO;3,93;CORPORATIVO
N;294;3110;MUEBLES;INDUSTRIA;Verde;2021;Bogota, D.C.;30/04/2019;CAMPAÑA_COMERCIA;NO;COP; $ 71.748.000 ; $ - ; $ 71.748.000 ;; $ 31.840.000 ; $ 7.877.500 ;MEDIO;2,81;CORPORATIVO
N;295;5530;HOTELERIA;INDUSTRIA;Rojo;1375;Bogota, D.C.;31/07/2019;CAMPAÑA_COMERCIA;NO;COP; $ 8.500.000 ; $ - ; $ 8.500.000 ;; $ 284.015.400 ; $ 702.392.088 ;ALTO;4,93;CORPORATIVO
N;296;7730;MAQUINARIA Y EQUIPO;INDUSTRIA;Amarillo;1926;Bogota, D.C.;30/11/2018;OP.PLAZO;SI;COP; $ 200.000.000 ; $ - ; $ 200.000.000 ;; $ 4.318.400 ; $ 4.534.320 ;BAJO;0,43;CORPORATIVO
N;297;1709;AGENCIAS DE PUBLICIDAD;OTROS;Naranja2;1321;Bogota, D.C.;30/06/2019;CAPITAL_TRABAJO;SI;COP; $ 95.000.000 ; $ - ; $ 95.000.000 ;; $ 60.086.630 ; $ 9.398.218 ;MEDIO;2,27;CORPORATIVO
N;298;4610;COMERCIO EN GENERAL AL POR MAYOR;COMERCIO;Verde;1155;Bogota, D.C.;31/07/2019;CAPITAL_TRABAJO;SI;COP; $ 300.000.000 ; $ - ; $ 300.000.000 ;; $ 186.220.030 ; $ 2.412.404 ;BAJO;1,31;CORPORATIVO
N;299;4774;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1889;Medellin;31/07/2019;OP.PLAZO;NO;COP; $ 80.000.000 ; $ 80.000.000 ; $ - ;; $ 2.000.000 ; $ 2.100.000 ;BAJO;0,56;CORPORATIVO
C;300;10;EXPLOTACIONES AGROPECUARIAS;OTROS;Verde;454;Palmira;31/05/2019;CAMPAÑA_COMERCIA;NO;COP; $ 11.000.000 ; $ 101.000.000 ;-$ 90.000.000 ; $ 83.578.367 ; $ 154.225.405 ; $ 136.779.526 ;ALTO;4,72;CORPORATIVO
N;301;1410;CONFECCIONES;OTROS;Naranja1;1368;Cali;31/05/2019;COMERCIO_EXTERIOR;SI;COP; $ 100.000.000 ; $ - ; $ 100.000.000 ;; $ 250.144.996 ; $ 48.660.858 ;MEDIO;2,27;CORPORATIVO
N;302;1410;CONFECCIONES;OTROS;Naranja1;1368;Cali;31/05/2019;CAMPAÑA_COMERCIA;NO;COP; $ 33.984.238 ; $ 21.585.983 ; $ 12.398.255 ; $ 12.818.646 ; $ 250.144.996 ; $ 48.660.858 ;MEDIO;2,27;CORPORATIVO
C;304;7490;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;869;Cali;30/06/2019;CAPITAL_TRABAJO;SI;COP; $ 50.150.000 ; $ 46.000.000 ; $ 4.150.000 ; $ 35.514.527 ; $ 1.555.324 ; $ 1.633.090 ;BAJO;0,50;CORPORATIVO
N;305;4761;PRODUCTOS EDITORIALES (PRODUCCION Y COMERCIALIZACION);INDUSTRIA;Rojo;1950;Bogota, D.C.;30/06/2019;OP.PLAZO;NO;COP; $ 100.000.000 ; $ 100.000.000 ; $ - ;; $ 125.859.385 ; $ 286.005.170 ;ALTO;4,86;CORPORATIVO
N;306;4752;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1909;Bogota, D.C.;31/05/2019;CAMPAÑA_COMERCIA;NO;COP; $ 92.950.000 ; $ - ; $ 92.950.000 ;; $ 332.135.073 ; $ 562.508.960 ;ALTO;5,51;CORPORATIVO
N;307;2229;PLASTICOS Y CAUCHO DISTINTO DE LLANTAS (PRODUCCION Y COMERCIALIZACION);INDUSTRIA;Verde;1938;Bucaramanga;31/07/2019;OP.PLAZO;SI;COP; $ 100.000.000 ; $ - ; $ 100.000.000 ;; $ 678.299.667 ; $ 836.310.388 ;ALTO;4,81;CORPORATIVO
C;308;5611;COMIDAS RAPIDAS Y RESTAURANTES;OTROS;Rojo;144;Medellin;31/08/2019;OP.PLAZO;SI;COP; $ 70.000.000 ; $ - ; $ 64.200.000 ;; $ 18.696.720 ; $ 19.631.556 ;BAJO;0,00;CORPORATIVO
N;309;3313;SERVICIOS DE REPARACION Y MANTENIMIENTO;SERVICIOS;Amarillo;1176;Bogota, D.C.;31/08/2019;CAPITAL_TRABAJO;SI;COP; $ 400.000.000 ; $ 65.000.000 ; $ 335.000.000 ; $ 16.765.677 ; $ - ; $ 22.024.834 ;BAJO;1,15;CORPORATIVO
N;311;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;1288;Cali;30/11/2019;CAMPAÑA_COMERCIA;SI;COP; $ 10.000.000 ; $ - ; $ 10.000.000 ;; $ 92.457.013 ; $ 138.733.891 ;ALTO;5,44;CORPORATIVO
N;312;4641;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1368;Cali;30/11/2019;CAMPAÑA_COMERCIA;NO;COP; $ 161.400.700 ; $ 161.400.000 ; $ 700 ; $ 161.400.000 ; $ 8.681.567 ; $ 18.217.951 ;ALTO;4,79;CORPORATIVO
N;313;8299;SERVICIOS DE APOYO EMPRESARIAL;SERVICIOS;Naranja1;1297;Bogota, D.C.;30/09/2019;CAMPAÑA_COMERCIA;NO;COP; $ 117.374.500 ; $ 100.000.000 ; $ 17.374.500 ; $ 8.333.334 ; $ 114.939.689 ; $ 173.836.990 ;ALTO;5,27;CORPORATIVO
N;314;8610;SERVICIOS DE SALUD;SERVICIOS;Verde;833;Cali;31/12/2019;OP.PLAZO;NO;COP; $ 277.529.000 ; $ 1.110.115.908 ; $ - ;; $ 14.323.871 ; $ 17.588.071 ;MEDIO;3,46;CORPORATIVO
N;315;4719;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1214;Cali;31/10/2019;CAMPAÑA_COMERCIA;SI;COP; $ 22.500.000 ; $ - ; $ 22.500.000 ;; $ 428.177 ; $ 2.320.250 ;BAJO;1,58;CORPORATIVO
N;316;9499;OTRAS ORGANIZACIONES;OTROS;Naranja2;468;Pereira;31/10/2019;CAPITAL_TRABAJO;SI;COP; $ 30.000.000 ; $ - ; $ 30.000.000 ;; $ 49.909.590 ; $ 82.012.741 ;ALTO;4,50;CORPORATIVO
N;318;4711;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;822;Cogua;31/10/2019;OP.PLAZO;NO;COP; $ 80.000.000 ; $ 73.596.320 ; $ 6.403.680 ;; $ 108.068.746 ; $ 70.627.038 ;ALTO;5,46;CORPORATIVO
N;319;5111;TRANSPORTE AEREO;TRANSPORTE;Rojo;137;Arauca;30/11/2019;OP.PLAZO;NO;COP; $ 5.337.000 ; $ 30.161.677 ; $ - ;; $ 104.129.908 ; $ 304.373.412 ;ALTO;4,38;CORPORATIVO
N;321;7490;AGENCIAS DE PUBLICIDAD;OTROS;Naranja2;2016;Bogota, D.C.;31/12/2019;OP.PLAZO;NO;COP; $ 13.777.000 ; $ 40.000.000 ; $ - ;; $ 399.748.395 ; $ 735.275.061 ;ALTO;4,73;CORPORATIVO
C;322;4719;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;592;Sincelejo;30/11/2019;CAPITAL_TRABAJO;SI;COP; $ 5.000.000 ; $ - ; $ 5.000.000 ;; $ 418.790.913 ; $ 517.252.994 ;ALTO;4,61;CORPORATIVO
N;323;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1322;Bogota, D.C.;31/12/2019;CAPITAL_TRABAJO;SI;COP; $ 90.000.000 ; $ 5.000.000 ; $ 70.388.373 ; $ 4.187.024 ; $ 55.637.590 ; $ 58.419.470 ;BAJO;1,18;CORPORATIVO
N;324;5511;HOTELERIA;INDUSTRIA;Rojo;446;Oca?a;29/02/2020;CAMPAÑA_COMERCIA;NO;COP; $ 3.117.600 ; $ 9.409.308 ;-$ 6.291.708 ;; $ 16.420.236 ; $ 26.977.600 ;ALTO;4,72;CORPORATIVO
N;325;4774;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1594;Bogota, D.C.;31/03/2020;CAPITAL_TRABAJO;SI;COP; $ 25.000.000 ; $ 20.000.000 ; $ 5.000.000 ; $ 11.112.432 ; $ 4.264.543 ; $ 2.622.480 ;MEDIO;2,91;CORPORATIVO
N;326;5611;COMIDAS RAPIDAS Y RESTAURANTES;OTROS;Rojo;113;Buga;31/08/2019;CAMPAÑA_COMERCIA;NO;COP; $ 8.498.044 ; $ 8.368.303 ; $ 129.741 ;; $ - ; $ 15.398.040 ;BAJO;0,81;CORPORATIVO
N;327;8622;SERVICIOS DE SALUD;SERVICIOS;Verde;1509;Medellin;31/03/2020;CAMPAÑA_COMERCIA;NO;COP; $ 30.640.500 ; $ 30.600.000 ; $ 40.500 ; $ 24.862.496 ; $ 1.009.346.051 ; $ 1.127.836.193 ;ALTO;4,42;CORPORATIVO
N;328;4774;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;85;Bogota, D.C.;31/08/2019;CAMPAÑA_COMERCIA;SI;COP; $ 18.427.511 ; $ - ; $ 18.427.511 ;; $ 68.892.500 ; $ 138.666.792 ;ALTO;5,49;CORPORATIVO
N;329;4741;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;467;Soledad;30/09/2019;CAMPAÑA_COMERCIA;NO;COP; $ 10.526.413 ; $ 21.900.338 ;-$ 11.373.925 ; $ 5.725.018 ; $ 71.029.074 ; $ 137.599.171 ;ALTO;4,06;CORPORATIVO
N;330;4759;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1163;Bogota, D.C.;31/05/2020;CAMPAÑA_COMERCIA;NO;COP; $ 244.246.500 ; $ - ; $ 244.246.500 ;; $ 36.550.204 ; $ 117.629.956 ;ALTO;4,70;CORPORATIVO
N;331;4741;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1325;Bogota, D.C.;31/03/2020;CAPITAL_TRABAJO;SI;COP; $ 32.000.000 ; $ 22.000.000 ; $ 10.000.000 ; $ 4.677.717 ; $ 3.930.248 ; $ 1.165.943 ;MEDIO;2,16;CORPORATIVO
C;333;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;488;Cali;31/08/2020;CAMPAÑA_COMERCIA;NO;COP; $ 41.421.150 ; $ - ; $ 41.421.150 ;; $ 177.608.870 ; $ 330.328.513 ;ALTO;5,46;CORPORATIVO
N;334;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1178;Bogota, D.C.;30/11/2020;CAMPAÑA_COMERCIA;NO;COP; $ 63.253.000 ; $ - ; $ 63.253.000 ;; $ 43.470.220 ; $ 45.643.731 ;BAJO;1,25;CORPORATIVO
N;335;8521;EDUCACION;EDUCACION;Naranja1;1647;Bogota, D.C.;30/09/2020;CAMPAÑA_COMERCIA;NO;COP; $ 69.809.500 ; $ - ; $ 69.809.500 ;; $ 68.101.450 ; $ 144.817.850 ;ALTO;4,82;CORPORATIVO
N;336;4771;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1569;Bogota, D.C.;30/09/2020;CAPITAL_TRABAJO;SI;COP; $ 130.000.000 ; $ 90.000.000 ; $ 40.000.000 ; $ - ; $ 1.672.705 ; $ 5.287.065 ;MEDIO;3,82;CORPORATIVO
C;337;4711;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;283;Bucaramanga;30/09/2020;CAPITAL_TRABAJO;SI;COP; $ 101.100.000 ; $ 25.869.086 ; $ 75.230.914 ; $ 25.869.086 ; $ 766.093.428 ; $ 166.449.240 ;MEDIO;2,49;CORPORATIVO
C;338;4711;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;283;Bucaramanga;30/09/2020;CAMPAÑA_COMERCIA;NO;COP; $ 34.365.000 ; $ 34.365.000 ; $ - ;; $ 766.093.428 ; $ 166.449.240 ;MEDIO;2,49;CORPORATIVO
N;340;4659;HARDWARE Y SOFTWARE (INCLUYE EQUIPO DE OFICINA);INDUSTRIA;Verde;1167;Cota;30/11/2020;CAMPAÑA_COMERCIA;NO;COP; $ 90.000.000 ; $ - ; $ 90.000.000 ;; $ 13.348.782 ; $ 16.137.000 ;ALTO;4,24;CORPORATIVO
N;342;4643;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1797;Bogota, D.C.;31/12/2020;OP.PLAZO;NO;COP; $ 11.000.000 ; $ - ; $ 11.000.000 ;; $ 46.731.985 ; $ 51.016.126 ;ALTO;5,05;CORPORATIVO
N;343;7490;SERVICIOS DE SALUD;SERVICIOS;Verde;1569;Bogota, D.C.;30/11/2020;COMERCIO_EXTERIOR;SI;COP; $ 200.000.000 ; $ - ; $ 200.000.000 ;; $ - ; $ 6.349.357 ;BAJO;1,50;CORPORATIVO
N;344;4741;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1569;Bogota, D.C.;31/12/2020;CAMPAÑA_COMERCIA;SI;COP; $ 18.846.550 ; $ - ; $ 18.846.550 ;; $ 3.398.000 ; $ 2.281.000 ;BAJO;2,11;CORPORATIVO
N;345;6820;ACTIVIDADES INMOBILIARIAS;OTROS;Naranja2;1509;Medellin;31/10/2020;OP.PLAZO;NO;COP; $ 92.500.000 ; $ 92.500.000 ; $ - ;; $ - ; $ 24.075.650 ;MEDIO;3,96;CORPORATIVO
N;348;4759;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1547;Bogota, D.C.;28/02/2021;OP.PLAZO;SI;COP; $ - ; $ - ; $ - ;; $ 189.605.368 ; $ 267.049.486 ;ALTO;4,79;CORPORATIVO
N;349;6910;BUFETES;OTROS;Amarillo;1591;Bogota, D.C.;28/02/2021;CAMPAÑA_COMERCIA;NO;COP; $ 63.500.466 ; $ 49.000.000 ; $ 14.500.466 ; $ 3.137.425 ; $ 2.856.000 ; $ 2.998.800 ;BAJO;0,38;CORPORATIVO
C;350;4711;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;361;Restrepo;31/08/2020;OP.PLAZO;NO;COP; $ 75.535.000 ; $ 311.537.450 ; $ - ; $ 27.106.824 ; $ 743.712.672 ; $ 738.573.263 ;ALTO;5,03;CORPORATIVO
N;352;4752;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;2019;Medellin;28/02/2021;OP.PLAZO;NO;COP; $ 216.150.000 ; $ 284.000.000 ; $ - ; $ 103.732.849 ; $ 980.603.456 ; $ 1.215.120.270 ;ALTO;4,73;CORPORATIVO
N;353;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1189;Bogota, D.C.;31/03/2021;OP.PLAZO;NO;COP; $ 50.000.000 ; $ 50.000.000 ; $ - ;; $ 352.504.848 ; $ 370.130.090 ;BAJO;1,12;CORPORATIVO
N;354;811;CERAMICA, LADRILLO Y MARMOLES;INDUSTRIA;Verde;1215;Cali;28/02/2021;CAMPAÑA_COMERCIA;NO;COP; $ 345.350.000 ; $ - ; $ 345.350.000 ;; $ 412.127.643 ; $ 684.954.917 ;ALTO;5,53;CORPORATIVO
C;355;4751;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1054;Pereira;31/10/2020;CAMPAÑA_COMERCIA;NO;COP; $ 76.000.000 ; $ - ; $ 76.000.000 ;; $ 1.211.866.252 ; $ 2.114.261.900 ;ALTO;4,82;CORPORATIVO
N;356;4723;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1875;Barranquilla;31/05/2021;OP.PLAZO;NO;COP; $ 23.215.000 ; $ 28.692.090 ; $ - ;; $ 2.084.360.866 ; $ 2.188.578.909 ;BAJO;1,14;CORPORATIVO
N;357;4530;AUTOPARTES (PRODUCCION Y COMERCIALIZACION);OTROS;Amarillo;1590;Bogota, D.C.;31/12/2020;CAMPAÑA_COMERCIA;NO;COP; $ 150.500.000 ; $ - ; $ 150.500.000 ;; $ 1.162.000 ; $ 1.220.100 ;BAJO;0,38;CORPORATIVO
